b,DRXFCSD,DRXFCLD
11543000,"b'MILK SHAKE, BOTTLED, CHOCOLATE'","b'Milk shake, bottled, chocolate'"
11543010,"b'MILK SHAKE, BOTTLED, FLAVORS OTHER THAN CHOCOLATE'","b'Milk shake, bottled, flavors other than chocolate'"
11551050,b'LICUADO OR BATIDO',b'Licuado or Batido'
11553100,"b'FRUIT SMOOTHIE, NFS'","b'Fruit smoothie, NFS'"
11553110,"b'FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY'","b'Fruit smoothie, with whole fruit and dairy'"
11553120,"b'FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY, ADDED PROTEIN'","b'Fruit smoothie, with whole fruit and dairy, added protein'"
11553130,"b'FRUIT SMOOTHIE JUICE DRINK, WITH DAIRY'","b'Fruit smoothie juice drink, with dairy'"
11560000,b'CHOCOLATE MILK DRINK',b'Chocolate milk drink'
11710000,"b'INFANT FORMULA, NFS'","b'Infant formula, NFS'"
11710030,"b'INFANT FORMULA, SIMILAC, NFS'","b'Infant formula, Similac, NFS'"
11710051,"b'INFANT FORMULA, SIMILAC ALIMENTUM, READY-TO-FEED'","b'Infant formula, Similac Alimentum, ready-to-feed'"
11710056,"b'INFANT FORMULA, SIMILAC ALIMENTUM, POWDER, MADE WITH WATER'","b'Infant formula, Similac Alimentum, powder, made with water'"
11710351,"b'INFANT FORMULA, SIMILAC ADVANCE, READY-TO-FEED'","b'Infant formula, Similac Advance, ready-to-feed'"
11710357,"b'INFANT FORMULA, SIMILAC ADVANCE, POWDER, MADE WITH TAP WATER'","b'Infant formula, Similac Advance, powder, made with tap water'"
11710358,"b'INFANT FORMULA, SIMILAC ADVANCE, POWDER, MADE WITH BOTTLED W'","b'Infant formula, Similac Advance, powder, made with bottled water'"
11710359,"b'INFANT FORMULA, SIMILAC ADVANCE, POWDER, MADE WITH BABY WATE'","b'Infant formula, Similac Advance, powder, made with baby water'"
11710371,"b'INFANT FORMULA, SIMILAC SENSITIVE, READY-TO-FEED'","b'Infant formula, Similac Sensitive, ready-to-feed'"
11710377,"b'INFANT FORMULA, SIMILAC SENSITIVE, POWDER, MADE WITH TAP WAT'","b'Infant formula, Similac Sensitive, powder, made with tap water'"
11710378,"b'INFANT FORMULA, SIMILAC SENSITIVE, POWDER, MADE WITH BOTTLED'","b'Infant formula, Similac Sensitive, powder, made with bottled water'"
11710379,"b'INFANT FORMULA, SIMILAC SENSITIVE, POWDER, MADE WITH BABY WA'","b'Infant formula, Similac Sensitive, powder, made with baby water'"
11710381,"b'INFANT FORMULA, SIMILAC FOR SPIT-UP, READY-TO-FEED'","b'Infant formula, Similac for Spit-Up, ready-to-feed'"
11710383,"b'INFANT FORMULA, SIMILAC FOR SPIT-UP, POWDER, MADE WITH WATER'","b'Infant formula, Similac for Spit-Up, powder, made with water'"
11710481,"b'TODDLER FORMULA, SIMILAC GO AND GROW'","b'Toddler formula, Similac Go and Grow'"
11710605,"b'INFANT FORMULA, ENFAMIL, NFS'","b'Infant formula, Enfamil, NFS'"
11710631,"b'INFANT FORMULA, ENFAMIL INFANT, READY-TO-FEED'","b'Infant formula, Enfamil Infant, ready-to-feed'"
11710637,"b'INFANT FORMULA, ENFAMIL INFANT, POWDER, MADE WITH TAP WATER'","b'Infant formula, Enfamil Infant, powder, made with tap water'"
11710638,"b'INFANT FORMULA, ENFAMIL INFANT, POWDER, MADE WITH BOTTLED WA'","b'Infant formula, Enfamil Infant, powder, made with bottled water'"
